id,state,title,summary,edition_uri,edition_title,arlima_uri
Patrenostre,incomplete,Le Paternostre du vin,"A fragmentary text of which only the final 24 lines survive. Likely a Goliardic parody on the words of the Pater Noster, with stanzas introduced by words of the Latin.",,,https://www.arlima.net/mp/patrenostre_du_vin.html
ChapelFlors,incomplete,Le chapel des VII flors,A lyric poem in which advice on seven feminine virtues is given through the allegory of flowers.,,,https://www.arlima.net/ad/capiel_a_vii_flours.html
Boivin,incomplete,Boivin de Provins,"The manuscript’s only fabliau, about a jongleur who gets one over on a group of unscrupulous prostitutes.",,,https://www.arlima.net/ad/boivin_de_provins.html
AveMaria,incomplete,Ave Maria,The words of the Latin Ave Maria each taken to create a stanza in praise of Mary.,,,https://www.arlima.net/eh/gautier_l_epicier.html
Pommes,incomplete,Le dit des III pommes,"Two friends, united by a pilgrimage miracle, both sacrifice something for the other.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dist_des_trois_pommes.html
Aristote,incomplete,Li livres des secrés Aristote,Pseudo‑Aristotelian prose purporting to contain advice from Aristotle to Alexander on how to be a good king. A translation of the Secreta Secretorum.,,,https://www.arlima.net/qt/secret_des_secrets.html
Planetes1,complete,Le dit des planetes (copy A),An estates satire comparing seven types of people with the seven planets and seven days of the week. One of two copies in the manuscript.,,,https://www.arlima.net/mp/planetes_dit_des.html
Espervier,incomplete,Le dit de l’espervier,"Invective against inconstant, avaricious women.",,,https://www.arlima.net/eh/espervier_dit.html
BibleNostreDame,incomplete,La grant bible Nostre Dame,Praise of the Virgin Mary interspersed with anti‑semitic invective.,,,https://www.arlima.net/ad/bible_nostre_dame.html
SeptDormant,incomplete,Les VII dormant,A prose list of ‘the seven sleepers.’,,,
PoinesEnfer,incomplete,La vision de saint Paul,"A vernacular, alexandrine version of the visio sancti Pauli.",,,https://www.arlima.net/uz/vision_de_saint_paul/fr_version_en_quatrains_d_alexandrins.html
TrenteJours,incomplete,Les XXX jorz perilleus de l’an,A prose list of the 30 days of the year that represent the most peril.,,,
BourjoiseRomme,incomplete,Le dit de la bourjoise de Romme,"A pious woman is tempted to incest and kills her child, but is saved by Mary.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_la_bourjoise_de_romme.html
VieMonde,incomplete,La vie du monde,Rutebeuf offers satirical criticism of the three estates.,,,https://www.arlima.net/qt/rutebeuf/la_vie_dou_monde.html
DeuxChevaliers,incomplete,Le dit des II chevaliers,"A tale about the fates of two knights, one who is pious and one who is not.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_des_deus_chevaliers.html
EnfantRosti,incomplete,Le dit de l’enfant rosti,"The Devil roasts the child of a pious couple, but Jesus is on hand to save the day.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_l_enfant_rosti.html
PovreChevalier,incomplete,Le dit du povre chevalier,Mary takes the place of a woman to save her and her husband from the Devil.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_povre_chevalier.html
ChevalierEsquier,incomplete,Du chevalier et de l’escuier,A knight and his squire suffer for denying their faith in return for earthly reward.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_chevalier_et_de_l_escuier.html
BourjoiseNarbonne,incomplete,Le dit de la borjoise de Narbonne,A widow saves her son from execution by appealing to Mary.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_la_borjoise_de_narbonne.html
ChevalierHermite,incomplete,Le dit du chevalier qui devint hermite,A sinful knight undergoes trials to redeem his soul before becoming a hermit.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_chevalier_qui_devint_hermite.html
Cordouanier,incomplete,Le dit du cordouanier,"The Devil leads a cordwainer to kill his wife, but Mary revives her and he is saved.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_cordouanier.html
Juitel,incomplete,Le dit du petit Juitel,A Jewish child converts to Christianity.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_petit_juitel.html
EnfantSauvaMere,incomplete,Le dit de l’enfant qui sauva sa mere,A child saves his mother from damnation by performing her penance after her death.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_l_enfant_qui_sauva_sa_mere.html
EauBenoite,incomplete,Le dit de l’eaue beneoite et du vergier,"A bipartite tale in which a convert discovers the true power of holy water, and then a greedy man is turned from wickedness by a dream.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_l_eaue_beneoite_et_du_vergier.html
